month,market_name,admin_1,radius_km,acled_violent_events,acled_fatalities,acled_protest_blockade,acled_event_total
2018-02-28,Cap Haitien,Nord,25.0,0,0,4,4
2018-03-31,Cap Haitien,Nord,25.0,0,0,2,3
2018-04-30,Cap Haitien,Nord,25.0,1,1,0,1
2018-05-31,Cap Haitien,Nord,25.0,3,1,0,3
2018-06-30,Cap Haitien,Nord,25.0,0,0,1,1
2018-07-31,Cap Haitien,Nord,25.0,0,0,2,2
2018-08-31,Cap Haitien,Nord,25.0,0,0,1,1
2018-09-30,Cap Haitien,Nord,25.0,1,1,1,2
2018-10-31,Cap Haitien,Nord,25.0,3,2,1,4
2018-11-30,Cap Haitien,Nord,25.0,0,1,3,3
2018-12-31,Cap Haitien,Nord,25.0,2,6,0,2
2019-01-31,Cap Haitien,Nord,25.0,0,0,0,1
2019-02-28,Cap Haitien,Nord,25.0,1,5,9,10
2019-03-31,Cap Haitien,Nord,25.0,3,3,0,3
2019-04-30,Cap Haitien,Nord,25.0,4,2,0,4
2019-05-31,Cap Haitien,Nord,25.0,1,0,2,5
2019-06-30,Cap Haitien,Nord,25.0,1,1,2,3
2019-07-31,Cap Haitien,Nord,25.0,1,0,1,2
2019-09-30,Cap Haitien,Nord,25.0,1,10,10,11
2019-10-31,Cap Haitien,Nord,25.0,0,1,11,12
2019-11-30,Cap Haitien,Nord,25.0,3,10,8,11
2019-12-31,Cap Haitien,Nord,25.0,1,1,0,1
2020-02-29,Cap Haitien,Nord,25.0,1,0,6,7
2020-03-31,Cap Haitien,Nord,25.0,5,9,2,7
2020-04-30,Cap Haitien,Nord,25.0,1,1,1,2
2020-06-30,Cap Haitien,Nord,25.0,5,6,1,9
2020-07-31,Cap Haitien,Nord,25.0,1,0,2,3
2020-08-31,Cap Haitien,Nord,25.0,1,0,0,1
2020-09-30,Cap Haitien,Nord,25.0,1,0,5,6
2020-10-31,Cap Haitien,Nord,25.0,2,4,4,6
2020-11-30,Cap Haitien,Nord,25.0,0,0,2,2
2020-12-31,Cap Haitien,Nord,25.0,4,2,1,6
2021-01-31,Cap Haitien,Nord,25.0,3,5,3,6
2021-02-28,Cap Haitien,Nord,25.0,2,2,4,6
2021-03-31,Cap Haitien,Nord,25.0,1,0,6,7
2021-04-30,Cap Haitien,Nord,25.0,1,2,0,2
2021-06-30,Cap Haitien,Nord,25.0,3,0,0,4
2021-07-31,Cap Haitien,Nord,25.0,1,2,7,9
2021-08-31,Cap Haitien,Nord,25.0,1,0,0,1
2021-09-30,Cap Haitien,Nord,25.0,2,3,2,4
2021-10-31,Cap Haitien,Nord,25.0,4,2,3,7
2021-11-30,Cap Haitien,Nord,25.0,0,0,1,1
2022-02-28,Cap Haitien,Nord,25.0,2,4,2,5
2022-03-31,Cap Haitien,Nord,25.0,1,0,1,2
2022-05-31,Cap Haitien,Nord,25.0,3,10,0,4
2022-06-30,Cap Haitien,Nord,25.0,1,1,1,2
2022-07-31,Cap Haitien,Nord,25.0,1,1,1,3
2022-08-31,Cap Haitien,Nord,25.0,2,6,3,5
2022-09-30,Cap Haitien,Nord,25.0,1,3,15,16
2022-10-31,Cap Haitien,Nord,25.0,1,2,6,7
2022-11-30,Cap Haitien,Nord,25.0,1,0,1,2
2022-12-31,Cap Haitien,Nord,25.0,0,0,0,1
2023-01-31,Cap Haitien,Nord,25.0,1,1,3,4
2023-02-28,Cap Haitien,Nord,25.0,3,6,4,7
2023-03-31,Cap Haitien,Nord,25.0,3,2,0,3
2023-04-30,Cap Haitien,Nord,25.0,1,3,3,6
2023-05-31,Cap Haitien,Nord,25.0,4,9,6,10
2023-06-30,Cap Haitien,Nord,25.0,3,6,3,6
2023-07-31,Cap Haitien,Nord,25.0,3,2,4,9
2023-08-31,Cap Haitien,Nord,25.0,2,1,1,4
2023-09-30,Cap Haitien,Nord,25.0,1,1,0,1
2023-10-31,Cap Haitien,Nord,25.0,3,10,2,7
2023-11-30,Cap Haitien,Nord,25.0,3,5,2,5
2023-12-31,Cap Haitien,Nord,25.0,0,0,3,6
2024-01-31,Cap Haitien,Nord,25.0,1,2,5,10
2024-02-29,Cap Haitien,Nord,25.0,2,2,8,11
2024-03-31,Cap Haitien,Nord,25.0,1,2,4,9
2024-04-30,Cap Haitien,Nord,25.0,0,0,1,6
2024-05-31,Cap Haitien,Nord,25.0,0,1,4,4
