month,acled_violent_events,acled_fatalities,acled_protest_blockade,acled_event_total
2018-01-31,0,0,15,18
2018-02-28,5,3,22,27
2018-03-31,6,3,18,27
2018-04-30,13,21,25,41
2018-05-31,15,26,25,41
2018-06-30,6,5,14,20
2018-07-31,11,33,58,70
2018-08-31,12,7,28,42
2018-09-30,21,20,42,63
2018-10-31,23,33,41,65
2018-11-30,21,119,57,82
2018-12-31,20,26,16,37
2019-01-31,15,21,20,36
2019-02-28,17,38,141,161
2019-03-31,23,26,17,42
2019-04-30,23,74,13,41
2019-05-31,24,20,38,67
2019-06-30,16,33,76,101
2019-07-31,20,46,23,46
2019-08-31,30,34,24,60
2019-09-30,22,36,176,204
2019-10-31,37,55,187,230
2019-11-30,48,74,84,139
2019-12-31,24,27,28,58
2020-01-31,40,42,17,57
2020-02-29,36,44,40,77
2020-03-31,41,59,21,68
2020-04-30,32,48,22,57
2020-05-31,37,98,26,70
2020-06-30,29,43,19,54
2020-07-31,50,107,63,115
2020-08-31,41,93,37,82
2020-09-30,39,37,77,125
2020-10-31,64,60,43,116
2020-11-30,57,59,65,126
2020-12-31,53,27,26,81
2021-01-31,59,39,82,148
2021-02-28,53,73,89,154
2021-03-31,45,69,65,115
2021-04-30,64,49,42,108
2021-05-31,46,105,27,79
2021-06-30,60,199,14,92
2021-07-31,28,48,23,63
2021-08-31,40,41,21,71
2021-09-30,49,53,30,95
2021-10-31,61,47,83,158
2021-11-30,65,43,12,93
2021-12-31,50,54,48,111
2022-01-31,55,77,13,74
2022-02-28,58,74,25,90
2022-03-31,53,47,34,95
2022-04-30,102,222,16,126
2022-05-31,113,133,26,152
2022-06-30,64,48,26,94
2022-07-31,127,400,22,168
2022-08-31,49,76,66,122
2022-09-30,61,77,176,248
2022-10-31,90,247,68,171
2022-11-30,58,182,22,91
2022-12-31,47,54,5,66
2023-01-31,57,84,40,114
2023-02-28,88,166,19,112
2023-03-31,139,216,23,174
2023-04-30,128,601,63,212
2023-05-31,96,325,75,181
2023-06-30,48,56,18,76
2023-07-31,80,112,34,133
2023-08-31,112,242,38,203
2023-09-30,77,174,35,148
2023-10-31,72,107,25,137
2023-11-30,102,323,22,174
2023-12-31,84,114,25,157
2024-01-31,133,386,125,329
2024-02-29,108,326,124,302
2024-03-31,147,230,43,352
2024-04-30,91,177,21,196
2024-05-31,100,124,22,175
2024-06-30,50,112,25,119
2024-07-31,81,179,11,131
2024-08-31,85,206,22,138
2024-09-30,83,151,24,140
2024-10-31,114,355,26,186
2024-11-30,180,435,10,243
2024-12-31,180,884,15,245
2025-01-31,197,629,48,286
2025-02-28,230,590,49,344
2025-03-31,217,668,43,324
2025-04-30,125,454,24,211
2025-05-31,51,182,7,80
