wb_market,fews_market,cm_name,span_start,span_end,expected_months,fews_obs,wb_obs,fews_missing,wb_missing,fews_pct_missing,wb_pct_missing
Cap-Haitien,Cap Haitien,beans_fao,2005-01-01,2026-02-01,254,248,226,6,28,2.3622047244094486,11.023622047244094
Cayes,Cayes,beans_fao,2005-01-01,2026-02-01,254,246,148,8,106,3.149606299212598,41.732283464566926
Gonaives,Gonaives,beans_fao,2005-01-01,2026-02-01,254,223,148,31,106,12.204724409448819,41.732283464566926
Hinche,Hinche,beans_fao,2005-01-01,2026-02-01,254,248,226,6,28,2.3622047244094486,11.023622047244094
Jacmel,Jacmel,beans_fao,2005-01-01,2026-02-01,254,248,226,6,28,2.3622047244094486,11.023622047244094
Jeremie,Jeremie,beans_fao,2005-01-01,2026-02-01,254,248,226,6,28,2.3622047244094486,11.023622047244094
Ouanaminthe,Ouanaminthe,beans_fao,2005-01-01,2026-02-01,254,246,226,8,28,3.149606299212598,11.023622047244094
Port-au-Prince,"Port-au-Prince, Croix-de-Bossales",beans_fao,2005-01-01,2026-02-01,254,248,226,6,28,2.3622047244094486,11.023622047244094
Port-de-Paix,Port-de-Paix,beans_fao,2005-01-01,2026-02-01,254,219,148,35,106,13.779527559055119,41.732283464566926
Cap-Haitien,Cap Haitien,maize_meal,2005-01-01,2026-02-01,254,248,226,6,28,2.3622047244094486,11.023622047244094
Cayes,Cayes,maize_meal,2005-01-01,2026-02-01,254,246,211,8,43,3.149606299212598,16.92913385826772
Gonaives,Gonaives,maize_meal,2005-01-01,2026-02-01,254,223,187,31,67,12.204724409448819,26.37795275590551
Hinche,Hinche,maize_meal,2005-01-01,2026-02-01,254,248,226,6,28,2.3622047244094486,11.023622047244094
Jacmel,Jacmel,maize_meal,2005-01-01,2026-02-01,254,247,226,7,28,2.7559055118110236,11.023622047244094
Jeremie,Jeremie,maize_meal,2005-01-01,2026-02-01,254,244,226,10,28,3.937007874015748,11.023622047244094
Ouanaminthe,Ouanaminthe,maize_meal,2005-01-01,2025-01-01,241,225,204,16,37,6.639004149377594,15.352697095435685
